class,precision,recall,f1-score,support
1,86.36,95.0,90.48,20
2,81.82,90.0,85.71,20
3,70.0,70.0,70.0,20
8,95.0,95.0,95.0,20
9,88.89,80.0,84.21,20
10,86.36,95.0,90.48,20
a,100.0,90.0,94.74,20
b,90.48,95.0,92.68,20
c,68.42,65.0,66.67,20
d,66.67,70.0,68.29,20
e,88.89,80.0,84.21,20
f,90.0,90.0,90.0,20
buku,85.71,90.0,87.8,20
dia,82.35,70.0,75.68,20
saya,65.0,65.0,65.0,20
keliling,77.78,70.0,73.68,20
kelompok,85.71,90.0,87.8,20
sekarang,63.64,70.0,66.67,20
