class,precision,recall,f1-score,support
1,94.74,90.0,92.31,20
2,85.71,90.0,87.8,20
3,80.0,80.0,80.0,20
8,82.61,95.0,88.37,20
9,83.33,75.0,78.95,20
10,90.48,95.0,92.68,20
a,95.24,100.0,97.56,20
b,81.82,90.0,85.71,20
c,71.43,75.0,73.17,20
d,57.89,55.0,56.41,20
e,77.27,85.0,80.95,20
f,80.95,85.0,82.93,20
buku,89.47,85.0,87.18,20
dia,82.35,70.0,75.68,20
saya,63.64,70.0,66.67,20
keliling,93.75,75.0,83.33,20
kelompok,83.33,75.0,78.95,20
sekarang,65.0,65.0,65.0,20
