class,precision,recall,f1,support
1,86.96,100.0,93.02,20
2,94.74,90.0,92.31,20
3,100.0,65.0,78.79,20
8,86.36,95.0,90.48,20
9,88.24,75.0,81.08,20
10,86.36,95.0,90.48,20
a,90.48,95.0,92.68,20
b,86.96,100.0,93.02,20
c,65.0,65.0,65.0,20
d,66.67,60.0,63.16,20
e,70.37,95.0,80.85,20
f,95.24,100.0,97.56,20
buku,85.71,90.0,87.8,20
dia,94.44,85.0,89.47,20
saya,72.0,90.0,80.0,20
keliling,77.78,70.0,73.68,20
kelompok,93.75,75.0,83.33,20
sekarang,87.5,70.0,77.78,20
