class,precision,recall,f1,support
1,60.0,45.0,51.43,20
2,53.33,40.0,45.71,20
3,35.29,30.0,32.43,20
8,50.0,80.0,61.54,20
9,37.5,30.0,33.33,20
10,54.55,60.0,57.14,20
a,52.17,60.0,55.81,20
b,68.42,65.0,66.67,20
c,17.39,20.0,18.6,20
d,31.58,30.0,30.77,20
e,35.0,35.0,35.0,20
f,71.43,50.0,58.82,20
buku,50.0,45.0,47.37,20
dia,63.16,60.0,61.54,20
saya,27.27,15.0,19.35,20
keliling,59.09,65.0,61.9,20
kelompok,61.9,65.0,63.41,20
sekarang,38.24,65.0,48.15,20
