epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,2.8586925050955814,7.58237395791981,2.8249910354614256,9.444444444444445,0.001,57.2065634727478
2,2.7500125441867334,11.274315204446209,2.7009946611192492,14.166666666666666,0.001,57.28825116157532
3,2.6312997209595137,14.847161572052402,2.6017925871743097,15.277777777777779,0.001,57.31834673881531
4,2.4909552990230788,17.78483525208416,2.5180186682277257,16.805555555555557,0.001,57.382617473602295
5,2.3900714289720875,19.45216355696705,2.394571664598253,20.97222222222222,0.001,57.34454035758972
6,2.298805681946449,22.905915045653035,2.3599571042590672,22.22222222222222,0.001,57.233874797821045
7,2.2323131122585327,24.890829694323145,2.3034308499760097,21.666666666666668,0.001,57.230093479156494
8,2.1583217643186563,25.526002381897577,2.2747147149509854,25.0,0.001,57.1781063079834
9,2.124126414260773,26.637554585152838,2.2093836612171596,26.38888888888889,0.001,57.231821060180664
10,2.053368770872709,29.098848749503773,2.1721551669968497,26.11111111111111,0.001,57.14494514465332
11,1.9807635869900353,31.004366812227076,2.067557567358017,29.02777777777778,0.001,57.25588011741638
12,1.883172880377548,33.50535926955141,2.0181303176614973,34.02777777777778,0.001,57.17487168312073
13,1.7963592798854682,36.44303294958317,2.025508491198222,31.666666666666668,0.001,57.210240602493286
14,1.7479542052760015,37.75307661770544,1.8611487040917079,35.833333333333336,0.001,57.214022636413574
15,1.655768022313862,40.6510520047638,1.909762806362576,35.55555555555556,0.001,57.231301069259644
16,1.591653894318054,43.19174275506153,1.8707054750786887,36.388888888888886,0.001,57.20099401473999
17,1.5011350454532613,47.08217546645494,1.8150230255391864,39.02777777777778,0.001,57.22546362876892
18,1.4096232749678492,51.09170305676856,1.7875884215037028,40.138888888888886,0.001,57.28266739845276
19,1.3346614472541416,52.60023818975784,1.7281484769450293,41.80555555555556,0.001,57.218390703201294
20,1.2276188698776567,55.77610162763001,1.692656894524892,43.333333333333336,0.001,57.21568703651428
21,1.1602313682502015,58.39618896387455,1.625601409541236,46.666666666666664,0.001,57.20603847503662
22,1.0790776645394249,60.22231044065105,1.7692155539989471,42.77777777777778,0.001,57.286031007766724
23,1.0348222316281575,62.48511314013498,1.7186977234151628,45.138888888888886,0.001,57.18714761734009
24,0.9727633927208226,64.03334656609766,1.7824578879608048,44.02777777777778,0.001,57.20973777770996
25,0.897722815298381,68.67804684398571,1.6719076335430145,47.916666666666664,0.001,57.20944952964783
26,0.8368168043304691,69.63080587534736,1.697708979414569,45.0,0.001,57.226945877075195
27,0.8031266847268226,69.55140928940055,1.7083427813318042,46.80555555555556,0.001,57.18699812889099
28,0.7511672255253687,72.44938467645892,1.7583219756682713,46.666666666666664,0.001,57.17025876045227
29,0.6776312464000025,75.50615323541088,1.809624042444759,45.97222222222222,0.001,57.19180083274841
30,0.6271462644930632,75.70464470027788,1.9482376138369242,44.30555555555556,0.001,57.18339729309082
31,0.5767256393466691,79.27749106788409,1.8994166547639502,48.333333333333336,0.001,57.19699001312256
32,0.5701675316250102,78.48352520841604,1.9131516048477755,46.25,0.001,57.17717528343201
33,0.5847297575607239,78.24533545057562,1.9232381951477793,45.69444444444444,0.001,57.20307445526123
34,0.52386553316078,81.26240571655418,1.8967761342724165,47.5,0.001,57.263519048690796
35,0.5095850541690788,80.74632790789995,2.016843921939532,45.138888888888886,0.001,57.208268880844116
36,0.4934741830177466,82.01667328304883,1.9493698149091667,48.19444444444444,0.001,57.22083830833435
37,0.44006009672595753,83.4458118300913,2.072932790716489,46.52777777777778,0.0005,57.228360176086426
38,0.2992935917736188,89.59904724096864,1.9600653517577382,48.611111111111114,0.0005,57.19877910614014
39,0.22058425641701115,93.09249702262802,2.042255531334215,50.416666666666664,0.0005,57.25736713409424
40,0.19820191989807726,93.09249702262802,2.1209987966550723,48.888888888888886,0.0005,57.23913025856018
41,0.18086993114659713,93.88646288209607,2.1373416056649552,50.0,0.0005,57.23512387275696
42,0.1688531678082712,94.52163556967051,2.290639158917798,50.69444444444444,0.0005,57.22548747062683
43,0.16793973870803175,94.4025406907503,2.3019887807468575,48.47222222222222,0.0005,57.274781465530396
44,0.15318237740506535,94.99801508535133,2.416129238277467,47.638888888888886,0.0005,57.18466877937317
45,0.14610664091143594,95.27590313616514,2.279524279385805,48.19444444444444,0.0005,57.26521158218384
46,0.18023813330820151,94.12465263993649,2.3444305505707033,48.333333333333336,0.0005,57.20981574058533
47,0.11491627754764087,96.94323144104804,2.3783209313121105,49.02777777777778,0.0005,57.25425601005554
48,0.1168535419324958,96.5065502183406,2.3987585745751856,50.0,0.00025,57.22528886795044
49,0.08627163384992625,98.1341802302501,2.4068403033746613,51.666666666666664,0.00025,57.273207902908325
50,0.06142991856953226,98.57086145295752,2.4424990067051517,49.861111111111114,0.00025,57.21258854866028
51,0.05411728106235029,98.80905121079793,2.521965852710936,50.0,0.00025,57.200143337249756
52,0.046723381540752465,99.20603414053195,2.5581021414862737,49.72222222222222,0.00025,57.24880313873291
53,0.04369082976269058,99.12663755458516,2.5620767172529466,50.416666666666664,0.00025,57.24797034263611
54,0.03691688078001242,99.48392219134577,2.647566581476066,49.02777777777778,0.00025,57.247089862823486
55,0.040051575855482496,98.92814608971814,2.6149930835908486,49.02777777777778,0.000125,57.26271390914917
56,0.033436621828969684,99.48392219134577,2.6149101163364117,49.166666666666664,0.000125,57.22097182273865
57,0.027583015842142147,99.60301707026598,2.680977126231624,49.583333333333336,0.000125,57.246421337127686
58,0.022723412418862974,99.68241365621279,2.6914759960025547,50.69444444444444,0.000125,57.25936818122864
59,0.02751004443318687,99.64271536323938,2.694608611282375,50.416666666666664,0.000125,57.22481846809387
60,0.029148151610769796,99.40452560539897,2.7666742545862992,49.02777777777778,0.000125,57.225573778152466
61,0.019721524989947458,100.0,2.7718349023411673,49.166666666666664,6.25e-05,57.24709677696228
62,0.01759098317683388,99.801508535133,2.7665704200251233,48.75,6.25e-05,57.21963667869568
63,0.01974870686878869,99.68241365621279,2.7229581270263425,49.44444444444444,6.25e-05,57.21659517288208
64,0.015275541494525422,99.8412068281064,2.76356203344961,49.861111111111114,6.25e-05,57.209113359451294
65,0.01582117129428554,99.8412068281064,2.7843198264949023,49.72222222222222,6.25e-05,57.2471764087677
66,0.017696622339980886,99.801508535133,2.770384996301598,50.0,6.25e-05,57.250081300735474
67,0.016328397475100932,99.72211194918619,2.7816640615877177,50.69444444444444,3.125e-05,57.21079421043396
68,0.0132850649920612,99.92060341405319,2.7863350426778197,49.44444444444444,3.125e-05,57.28099083900452
69,0.014067924900350885,99.8412068281064,2.782374843582511,50.138888888888886,3.125e-05,57.25904941558838
70,0.01529893598642382,99.76181024215958,2.818669461945279,49.861111111111114,3.125e-05,57.2178521156311
71,0.01297331520403562,99.88090512107979,2.799556732798616,49.861111111111114,3.125e-05,57.20849108695984
72,0.019481760436952197,99.64271536323938,2.8044666695512004,50.0,3.125e-05,57.21648979187012
73,0.01616741188542282,99.8412068281064,2.8389181958718432,50.416666666666664,1.5625e-05,57.19218182563782
74,0.015656000516897216,99.64271536323938,2.862006320866446,49.861111111111114,1.5625e-05,57.22514510154724
75,0.01462901660521064,99.801508535133,2.8520496140337652,50.0,1.5625e-05,57.24669313430786
76,0.011343933277829605,99.9603017070266,2.8467144258941213,49.861111111111114,1.5625e-05,57.212749004364014
77,0.009866526621290709,99.92060341405319,2.8403487684205175,50.138888888888886,1.5625e-05,57.250155210494995
78,0.011868116845736895,99.92060341405319,2.853997778126763,50.416666666666664,1.5625e-05,57.23545241355896
79,0.013151130464023926,99.801508535133,2.847654524921543,49.861111111111114,7.8125e-06,57.244635820388794
80,0.010644244149722138,99.92060341405319,2.844827947103315,50.416666666666664,7.8125e-06,57.203399896621704
81,0.011306375751071086,99.8412068281064,2.854983368971282,49.72222222222222,7.8125e-06,57.21749234199524
82,0.011396640427458665,99.88090512107979,2.8424751648472415,50.69444444444444,7.8125e-06,57.203206300735474
83,0.011354990195835682,99.88090512107979,2.8322765971223514,50.27777777777778,7.8125e-06,57.26441836357117
84,0.009479253154250588,99.92060341405319,2.8416715029420123,50.138888888888886,7.8125e-06,57.23629117012024
85,0.011421259266506244,99.92060341405319,2.8431994241972762,50.833333333333336,3.90625e-06,57.21843099594116
86,0.011018067174321229,99.92060341405319,2.8419325979840426,50.416666666666664,3.90625e-06,57.23232293128967
87,0.00997622468361447,99.9603017070266,2.8408747216065726,50.416666666666664,3.90625e-06,57.25911784172058
88,0.010538251790206595,99.92060341405319,2.8376087280611197,50.55555555555556,3.90625e-06,57.25363731384277
89,0.011434270515623856,99.88090512107979,2.836496769181556,50.69444444444444,3.90625e-06,57.247719049453735
90,0.012136188575987967,99.88090512107979,2.8321380890078016,50.55555555555556,3.90625e-06,57.2529833316803
91,0.009362838410340921,99.9603017070266,2.839050506386492,50.138888888888886,1.953125e-06,57.210880517959595
92,0.012612734661918576,99.92060341405319,2.8447242476873926,50.416666666666664,1.953125e-06,57.25594902038574
93,0.009940442484598303,99.88090512107979,2.8277451529478035,50.416666666666664,1.953125e-06,57.25177574157715
94,0.009390846383351198,99.9603017070266,2.842968392993013,50.55555555555556,1.953125e-06,57.27053761482239
95,0.009615745259781263,99.88090512107979,2.84011542060309,50.55555555555556,1.953125e-06,57.18319272994995
96,0.012471821568542135,99.801508535133,2.8358091036064756,50.55555555555556,1.953125e-06,57.250990867614746
97,0.010088875117573448,99.9603017070266,2.8410986807611254,50.416666666666664,1e-06,57.20193648338318
