class,precision,recall,f1-score,support
1,44.0,55.0,48.89,20
2,57.89,55.0,56.41,20
3,20.0,20.0,20.0,20
8,52.38,55.0,53.66,20
9,46.15,63.16,53.33,19
10,54.17,65.0,59.09,20
a,62.5,50.0,55.56,20
b,83.33,50.0,62.5,20
c,32.26,50.0,39.22,20
d,33.33,40.0,36.36,20
e,38.46,25.0,30.3,20
f,61.54,40.0,48.48,20
buku,50.0,35.0,41.18,20
dia,44.44,40.0,42.11,20
saya,8.0,10.0,8.89,20
keliling,60.0,45.0,51.43,20
kelompok,66.67,60.0,63.16,20
sekarang,24.0,30.0,26.67,20
