epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,2.829199857965449,10.281857880111156,3.2368876980410684,6.666666666666667,0.001,116.46946597099304
2,2.5524365656808428,18.896387455339422,2.5851584904723697,16.11111111111111,0.001,116.41147637367249
3,2.2295414716206454,24.374751885668918,2.2338713030020396,23.47222222222222,0.001,116.42749619483948
4,2.0267002170830786,28.900357284636762,2.059406665960948,28.194444444444443,0.001,116.55214643478394
5,1.8888508598688056,32.59229853116316,1.910777788857619,35.0,0.001,116.72727823257446
6,1.8257495595993338,34.61691147280667,1.8174647023280461,37.77777777777778,0.001,116.81429934501648
7,1.7336885544836356,37.87217149662565,1.818204020626015,35.833333333333336,0.001,116.8635094165802
8,1.6101033660616844,41.36562127828503,1.9387832389730546,35.27777777777778,0.001,116.88643503189087
9,1.4659109052659596,46.56609765780072,1.6530213917295138,40.97222222222222,0.001,116.90567541122437
10,1.4436198981237014,47.55855498213577,2.770096898575624,28.88888888888889,0.001,116.91252517700195
11,1.3356350443106693,50.77411671298134,2.2693766122063,38.19444444444444,0.001,117.04667925834656
12,1.2533418238754546,54.74394601032156,1.7615576067421999,45.27777777777778,0.001,116.9283926486969
13,1.1743575565963569,58.435887256847955,1.441207219246361,51.52777777777778,0.001,117.06460404396057
14,1.0785508103293056,62.48511314013498,1.4203202976948686,57.22222222222222,0.001,117.06335687637329
15,1.000206483858547,63.51726875744343,1.0556877911090852,61.666666666666664,0.001,117.12733435630798
16,0.9093276237556508,67.36800317586344,1.1262492389107743,64.02777777777777,0.001,117.11357235908508
17,0.8465577898019834,70.3056768558952,1.05549638632478,63.19444444444444,0.001,117.10845065116882
18,0.7888269484066783,71.89360857483128,0.954971016674406,68.61111111111111,0.001,117.19447255134583
19,0.7336153146670706,73.60063517268757,0.8337095365678477,72.22222222222223,0.001,117.36957955360413
20,0.6690735568740909,75.30766177054387,0.8323550852636497,72.08333333333333,0.001,117.4281210899353
21,0.6170348268432625,77.41167129813418,1.200275936153614,59.72222222222222,0.001,117.29041743278503
22,0.5662918582975676,79.15839618896388,0.8987786649622851,70.41666666666667,0.001,117.1047191619873
23,0.5744190782119283,78.76141325922985,0.9440833786308455,69.16666666666667,0.001,117.14614629745483
24,0.5304870055208324,80.38904327113934,1.268134659266151,63.05555555555556,0.001,117.12191581726074
25,0.488427293654376,81.14331083763398,1.2530417171410388,64.16666666666667,0.001,117.28258085250854
26,0.4860347389535991,82.65184597062326,0.8086891835591006,74.16666666666667,0.001,117.18329691886902
27,0.45555464291014147,82.96943231441048,0.9338663323853527,72.5,0.001,117.30451321601868
28,0.3989325365078986,85.03374354902739,0.8403341411004981,75.83333333333333,0.001,117.45851588249207
29,0.39206938479286474,85.43072647876141,0.9807968865080814,72.63888888888889,0.001,117.28223395347595
30,0.48099778111434,83.16792377927749,0.9750556837735025,70.83333333333333,0.001,117.31435060501099
31,0.41052470281690584,84.75585549821358,0.8389921190831552,75.83333333333333,0.001,117.43415474891663
32,0.3776138866303245,86.62167526796348,0.997576606966969,70.55555555555556,0.001,116.14035367965698
33,0.35754294117891205,87.53473600635172,0.967472206352977,74.72222222222223,0.001,115.3994562625885
34,0.32028277857660203,87.89202064311235,0.8909253303466055,74.86111111111111,0.001,115.20907306671143
35,0.33356579784459184,87.93171893608574,0.8320269823913501,75.97222222222223,0.001,115.1081645488739
36,0.3173823635662866,88.56689162366018,0.8145897216697955,77.63888888888889,0.001,115.21773791313171
37,0.3185756820235172,88.72568479555379,0.9037186192516755,73.47222222222223,0.001,115.32104849815369
38,0.27813046406429526,90.07542675664946,1.2220221400700717,66.11111111111111,0.001,115.17612481117249
39,0.27714574219878585,90.07542675664946,0.7888697634266767,76.38888888888889,0.001,115.12481760978699
40,0.2984135721345425,89.79753870583565,1.3358931845923,67.22222222222223,0.001,115.06323385238647
41,0.258943504672357,91.66335847558555,0.852511555089667,76.94444444444444,0.001,115.09170889854431
42,0.23108812244853014,91.54426359666535,0.9140913180809649,77.5,0.001,115.13433623313904
43,0.2747243968717223,90.15482334259627,0.8218217666692605,77.5,0.001,115.16319179534912
44,0.23256517182122405,91.70305676855895,0.8887173925284009,77.77777777777777,0.001,115.08098602294922
45,0.21394920034083395,92.73521238586741,1.8192018282421891,62.5,0.001,115.15160346031189
46,0.21773437184768568,92.29853116315998,0.8744578899741706,79.30555555555556,0.001,115.16888236999512
47,0.21468099422703685,93.05279872965463,1.0560594507029641,76.66666666666667,0.001,115.21188116073608
48,0.215161441751941,92.5764192139738,0.9438770877497316,77.36111111111111,0.001,115.15503096580505
49,0.22179035248991683,92.497022628027,0.9390833688625814,78.05555555555556,0.001,115.25303173065186
50,0.19209294638144678,93.41008336641525,1.1969126178511438,75.83333333333333,0.001,115.0864405632019
51,0.22339012196486052,93.05279872965463,1.1060300143836785,75.41666666666667,0.001,115.1521463394165
52,0.20363799000793714,92.73521238586741,0.9908089302528728,76.25,0.001,115.0761787891388
53,0.22562673482526419,93.05279872965463,0.8470481356921179,78.61111111111111,0.001,115.15351462364197
54,0.17156980114600962,94.2437475188567,0.8558534983048351,80.83333333333333,0.001,115.13966631889343
55,0.15079050270568597,95.11710996427153,0.8628916777408449,79.86111111111111,0.001,115.2961916923523
56,0.1863305005655299,93.60857483128225,0.9543745439874708,78.05555555555556,0.001,115.15648436546326
