class,precision,recall,f1,support
1,86.96,100.0,93.02,20
2,85.71,90.0,87.8,20
3,87.5,70.0,77.78,20
8,82.61,95.0,88.37,20
9,93.33,73.68,82.35,19
10,90.91,100.0,95.24,20
a,100.0,90.0,94.74,20
b,83.33,100.0,90.91,20
c,87.5,70.0,77.78,20
d,69.23,90.0,78.26,20
e,94.44,85.0,89.47,20
f,95.0,95.0,95.0,20
buku,85.71,90.0,87.8,20
dia,88.89,80.0,84.21,20
saya,72.73,80.0,76.19,20
keliling,77.78,70.0,73.68,20
kelompok,88.89,80.0,84.21,20
sekarang,90.0,90.0,90.0,20
