class,precision,recall,f1-score,support
1,100.0,90.0,94.74,20
2,100.0,90.0,94.74,20
3,89.47,85.0,87.18,20
8,90.91,100.0,95.24,20
9,94.74,90.0,92.31,20
10,95.24,100.0,97.56,20
a,90.91,100.0,95.24,20
b,95.24,100.0,97.56,20
c,73.68,70.0,71.79,20
d,54.55,60.0,57.14,20
e,88.89,80.0,84.21,20
f,86.36,95.0,90.48,20
buku,80.95,85.0,82.93,20
dia,76.19,80.0,78.05,20
saya,66.67,80.0,72.73,20
keliling,83.33,75.0,78.95,20
kelompok,82.35,70.0,75.68,20
sekarang,83.33,75.0,78.95,20
