class,precision,recall,f1-score,support
1,100.0,100.0,100.0,20
2,90.0,90.0,90.0,20
3,100.0,75.0,85.71,20
8,94.74,90.0,92.31,20
9,81.82,90.0,85.71,20
10,86.96,100.0,93.02,20
a,100.0,95.0,97.44,20
b,95.24,100.0,97.56,20
c,69.57,80.0,74.42,20
d,62.5,50.0,55.56,20
e,80.0,80.0,80.0,20
f,90.0,90.0,90.0,20
buku,83.33,100.0,90.91,20
dia,84.21,80.0,82.05,20
saya,70.0,70.0,70.0,20
keliling,72.73,80.0,76.19,20
kelompok,83.33,75.0,78.95,20
sekarang,89.47,85.0,87.18,20
