class,precision,recall,f1,support
1,94.74,90.0,92.31,20
2,94.74,90.0,92.31,20
3,80.0,80.0,80.0,20
8,90.48,95.0,92.68,20
9,90.0,90.0,90.0,20
10,90.91,100.0,95.24,20
a,100.0,100.0,100.0,20
b,95.0,95.0,95.0,20
c,80.0,60.0,68.57,20
d,61.54,80.0,69.57,20
e,94.44,85.0,89.47,20
f,83.33,100.0,90.91,20
buku,81.82,90.0,85.71,20
dia,77.78,70.0,73.68,20
saya,57.14,60.0,58.54,20
keliling,68.42,65.0,66.67,20
kelompok,83.33,75.0,78.95,20
sekarang,77.78,70.0,73.68,20
