class,precision,recall,f1,support
1,56.52,65.0,60.47,20
2,68.75,55.0,61.11,20
3,34.78,40.0,37.21,20
8,72.22,65.0,68.42,20
9,50.0,52.63,51.28,19
10,53.85,70.0,60.87,20
a,55.0,55.0,55.0,20
b,76.19,80.0,78.05,20
c,12.5,5.0,7.14,20
d,16.67,20.0,18.18,20
e,35.0,35.0,35.0,20
f,68.75,55.0,61.11,20
buku,58.82,50.0,54.05,20
dia,62.5,50.0,55.56,20
saya,29.41,25.0,27.03,20
keliling,61.54,80.0,69.57,20
kelompok,53.85,70.0,60.87,20
sekarang,45.45,50.0,47.62,20
