class,precision,recall,f1-score,support
1,95.24,100.0,97.56,20
2,94.74,90.0,92.31,20
3,85.0,85.0,85.0,20
8,90.91,100.0,95.24,20
9,90.0,94.74,92.31,19
10,95.0,95.0,95.0,20
a,100.0,100.0,100.0,20
b,95.0,95.0,95.0,20
c,93.75,75.0,83.33,20
d,69.57,80.0,74.42,20
e,83.33,75.0,78.95,20
f,95.0,95.0,95.0,20
buku,81.82,90.0,85.71,20
dia,88.89,80.0,84.21,20
saya,76.19,80.0,78.05,20
keliling,75.0,75.0,75.0,20
kelompok,75.0,75.0,75.0,20
sekarang,78.95,75.0,76.92,20
