class,precision,recall,f1-score,support
1,94.74,90.0,92.31,20
2,94.74,90.0,92.31,20
3,87.5,70.0,77.78,20
8,94.74,90.0,92.31,20
9,86.36,95.0,90.48,20
10,90.91,100.0,95.24,20
a,95.0,95.0,95.0,20
b,86.36,95.0,90.48,20
c,77.78,70.0,73.68,20
d,64.0,80.0,71.11,20
e,85.71,90.0,87.8,20
f,100.0,85.0,91.89,20
buku,86.96,100.0,93.02,20
dia,100.0,70.0,82.35,20
saya,76.19,80.0,78.05,20
keliling,72.73,80.0,76.19,20
kelompok,80.0,80.0,80.0,20
sekarang,70.0,70.0,70.0,20
